"Timestamp";"Model_Name";"Input_Dim";"Kernel_Type";"Noise_Prior_Range";"Mean_MSE_LOOCV";"ARD";"Number_trainingpoints";"Prior_Type";"Lengthscale_Prior";"Notes";"L";"M";"N";"O";"P";"Q";"R";"S";"T";"U"
"2025-05-09 10:27";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.006055";"True";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:30";"RBF";"4";"RBF";"(0.0001, 0.2)";"0.006351";"True";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:31";"RBF";"4";"RBF";"(0.0001, 0.2)";"0.00343";"False";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:34";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.003387";"False";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:35";"GP_Matern_1.5";"4";"Matern";"(0.0001, 0.2)";"0.003443";"False";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:37";"GP_Matern_0.5";"4";"Matern";"(0.0001, 0.2)";"0.003891";"False";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:38";"GP_Matern_0.5";"4";"Matern";"(0.0001, 0.2)";"0.006581";"True";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:38";"GP_Matern_1.5";"4";"Matern";"(0.0001, 0.2)";"0.006582";"True";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:39";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.5)";"0.003387";"False";"20";"";"";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:46";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.006237";"True";"20";"Gamma";"(2.0, 0.5)";"Test with new kernel config ";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:47";"RBF";"4";"RBF";"(0.0001, 0.2)";"0.006555";"True";"20";"Gamma";"(2.0, 0.5)";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:55";"RBF";"4";"RBF";"(0.0001, 0.2)";"0.002463";"True";"15";"Gamma";"(2.0, 0.5)";"Test with new kernel config";"";"";"";"";"";"";"";"";"";""
"2025-05-09 10:56";"RBF";"4";"RBF";"(0.0001, 0.2)";"0.002714";"False";"15";"Gamma";"(2.0, 0.5)";"Test with new kernel config ";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.002803";"True";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.002803";"True";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.002768";"False";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_2.5";"4";"Matern";"(0.0001, 0.2)";"0.002768";"False";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_1.5";"4";"Matern";"(0.0001, 0.2)";"0.003354";"True";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_1.5";"4";"Matern";"(0.0001, 0.2)";"0.003354";"True";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_1.5";"4";"Matern";"(0.0001, 0.2)";"0.002851";"False";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_1.5";"4";"Matern";"(0.0001, 0.2)";"0.002851";"False";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_0.5";"4";"Matern";"(0.0001, 0.2)";"0.00316";"True";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_0.5";"4";"Matern";"(0.0001, 0.2)";"0.00316";"True";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_0.5";"4";"Matern";"(0.0001, 0.2)";"0.003555";"False";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_Matern_0.5";"4";"Matern";"(0.0001, 0.2)";"0.003555";"False";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_RBF";"4";"RBF";"(0.0001, 0.2)";"0.00275";"True";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_RBF";"4";"RBF";"(0.0001, 0.2)";"0.00275";"True";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_RBF";"4";"RBF";"(0.0001, 0.2)";"0.002721";"False";"15";"";"";"Automated grid search";"";"";"";"";"";"";"";"";"";""
"2025-05-09 11:15";"GP_RBF";"4";"RBF";"(0.0001, 0.2)";"0.002721";"False";"15";"Gamma";"(2.0, 0.5)";"Automated grid search";"";"";"";"";"";"";"";"";"";""